Shave,Shaving Cream
Sweep,Chimney Sweep
Swat,Flyswatter
Swamp,Murky Swamp
Surfing,Web Surfing
Style,Lifestyle
Stretch,Stretchy Pants
Stork,Stork Baby
Sticker,Bumper Sticker
Steer,Steering Wheel
Steel,Steel Wool
Steam,Steamboat
Steal,Steal Your Heart
Station,Gas Station
Staple,Staple Gun
Stain,Stained Glass
Stack,Shortstack
Squirrel,Gray Squirrel
Squid,Squid Ink
Squeeze,Main Squeeze
Squeak,Squeaky Toy
Sprout,Bean Sprout
Splash,Splish-Splash
Spin,Spin Cycle
Spike,Volleyball Spike
Spider,Spiderweb
Spear,Spearfishing
Sound,Sound Effect
Soccer,Soccer Match
Snooze,Snooze Button
Sloth,Three-Toed Sloth
Slope,Steep Slope
Slipper,Fuzzy Slippers
Slip,Slipknot
Tofu,Firm Tofu
Puff,Puffin
Affair,Public Affair
Tarot,Tarot Card
Willow,Weeping Willow
Kid,Cool Kid
Cushion,Couch Cushion
Release,Release Valve
Field,Force Field
Holiday,National Holiday
Donut,Donut Break
Joke,Inside Joke
Witch,Witches' Coven
Grave,Gravedigger
Tie,Tie-Dye
Dish,Deep-Dish
Crust,Upper Crust
Porcupine,Quill Porcupine
Woman,Confident Woman
Girl,Gamer Girl
Arrow,Straight Arrow
Tar,Tar Pit
Sneeze,Sneeze Guard
Scar,Scar Tissue
Spice,Spiced Wine
Husband,Supportive Husband
Cousin,Second Cousin
Father,Founding Father
Sister,Little Sister
Pour,Heavy Pour
Pine,Pine Cone
Tissue,Tissue Paper
Towel,Beach Towel
Mop,Mop Bucket
Clothes,Clothesline
Robe,Bathrobe
Deodorant,Spray Deodorant
Pencil,Pencil Lead
Purse,Purse Organizer
Wallet,Wallet Chain
Song,Songbird
Pear,Pear Tree
Picture,Picture Perfect
Rattle,Baby Rattle
Knock,Knockout
Laugh,Laugh Out Loud
Measure,Tape Measure
Microscope,Microscope Slide
Mole,Holy Moley
Moment,Eureka Moment
Mushroom,Oyster Mushroom
Hound,Bloodhound
Number,Apartment Number
Offer,Counteroffer
Soap,Soap Opera
Organ,Organ Donor
Pen,Gel Pen
Pig,Guinea Pig
Pod,Podcast
Puzzle,Jigsaw Puzzle
Pyramid,Pyramid Scheme
Record,Broken Record
Trail,Trail Marker
Snack,Crunchy Snack
Repair,Repair Kit
Rescue,Rescue Mission
Beam,Balance Beam
Response,First Response Team
Retreat,Annual Retreat
Reunion,High School Reunion
Rig,Gaming Rig
Passage,Underground Passage
Roof,Under One Roof
Rug,Rug Burn
Quick,Quicksand
Peanut,Peanut Butter
Smile,Warm Smile
Grace,Amazing Grace
Science,Science Fiction
Shelter,Animal Shelter
Shield,Shield Bearer
Rear,Rear-End
Slap,Slapdash
Sliver,Sliver of Hope
Soda,Baking Soda
Lavender,Lavender Incense
Spaghetti,Spaghetti Western
Spark,Spark Plug
Spirit,Kindred Spirit
Staircase,Spiral Staircase
Step,Stepladder
Storage,Storage Unit
Story,Storyteller
Straw,Last Straw
Streak,Winning Streak
Stress,Stress Management
Catapult,Wooden Catapult
Surprise,Surprise Party
Tea,Bubble Tea
Tomato,Tomato Soup
Cucumber,Cucumber Water
Sleeve,Long Sleeve
Skip,Skip Rope
Skill,SkillSet
Skate,Skate Rink
Sit,Sit Down
Sign,Neon Sign
Sick,Worried Sick
Shut,Shut Up
Show,Showstopper
Shout,Shout-Out
Shoulder,Shoulder Blade
Shore,Shoreline
Shock,Culture Shock
Shine,Sunshine
Shepherd,Shepherd Dog
Sheet,Silk Sheet
Shampoo,Shampoo Bottle
Shadow,Shadow Puppets
Shade,Lamp Shade
Sewer,Sewer Drain
Set,Setup
Separate,Separate Checks
Sense,Sixth Sense
Send,Send Help
Seek,Hide-and-Seek
Seed,Bird Seed
Seaweed,Seaweed Chips
Search,Soul Searching
Screwdriver,Flat-Head Screwdriver
Scratch,Scratch Pad
Score,High Score
Scary,Scary Story
Scan,PETS Scan
Scalpel,Scalpel Knife
Scale,Bathroom Scale
Sauce,Special Sauce
Sad,Sad Face
Run,Home Run
Rude,Rude Awakening
Rubber,Rubber Stamp
Rod,Fishing Rod
Rocket,Rocket Launcher
Roar,Engine Roar
River,Lazy River
Rise,High-Rise
Ripple,Ripple Effect
Rhino,White Rhino
Respect,Pay Respect
Reject,Rejection Letter
Rehearsal,Music Rehearsal
Reflection,Self-Reflection
Rebel,Rebel Leader
Raffle,Giveaway Raffle
Rabbit,Rabbit Burrow
Quarter,Quarterback
Visit,Surprise Visit
Push,Push-Up
Public,Public School
Proposal,Marriage Proposal
Proper,Proper Posture
Promise,Pinky Promise
Priority,Low Priority
Price,Half Price
President,Club President
Pray,Praying Mantis
Potion,Magic Potion
Pot,Potluck
Pop,Lollipop
Pond,Pond Lily
Plunger,Toilet Plunger
Pliers,Needle Nose Pliers
Plank,Walk the Plank
Plan,Perfect Plan
Pipe,Pipe Down
Pinch,Penny Pincher
Pilot,Autopilot
Piece,Piece of Cake
Pick,Pick Me!
Permit,Driving Permit
Pepper,Ghost Pepper
People,People Person
Penguin,Emperor Penguin
Peas,Mushy Peas
Pearl,Pearl Earring
Peacock,Peacock Feather
Pawn,Chess Pawn
Pasture,Cow Pasture
Pass,Passport
Partner,Partner in Crime
Parrot,Talking Parrot
Panda,Trash Panda
Palm,Palm Tree
Pale,Pale Moonlight
Paint,Wall Paint
Pace,Pacemaker
Ox, Musk Ox
Owl,Snowy Owl
Outline,Chalk Outline
Otter,Sea Otter
Ostrich,Ostrich Egg
Kite,Kite Flying
King,Kingpin
Key,Key Chain
Idea,Bright Idea
Tower,Watchtower
Heat,Heat Wave
Hear,Hearing Aid
Hay,HayBale
Hall,Study Hall
Print,Fingerprint
Gut,Gut Check
Guilty,Guilty Conscience
Guard,Crossing Guard
Group,Focus Group
Grind,Daily Grind
Glow,Glow Up
Grape,Grapevine
Giggle,Giggle Fit
Gift,Anniversary Gift
Flour,All-Purpose Flour
Flight,Flight Layover
Flag,Pirate Flag
Film,Film Reel
Face,Facelift
Grand,Grand Entrance
Essay,College Essay
Escape,Escape Hatch
Branch,Tree Branch
Chip,Chipmunk
Engineer,Civil Engineer
Energy,Clean Energy
Error,Fatal Error
Elevator,Elevator Music
Education,Higher Education
Editor,Copy Editor
Ear,Earmuffs
Jury,Jury Duty
Dust,Dust Storm
Duel,Pistol Duel
Anchor,Raise Anchor
Drop,Dewdrop
Drawer,False Drawer
Bridge,Drawbridge
Drama,Drama Club
Drain,Drainpipe
Dragon,Bearded Dragon
Dozen,Baker's Dozen
Donation,Food Donation
Doll,Nesting Doll
Div,Scuba Diver
Disk,Floppy Disk
Dip,Double Dip
Dig,Dig Site
Diet,Paleo Diet
Desk,Standing Desk
Deep,Deep Dive
Deck,Poop Deck
Deal,Done Deal
Danger,Danger Zone
Edge,Cutting Edge
Curve,Grading Curve
Curtain,Curtain Call
Cruise,Luxury Cruise
Crown,Royal Crown
Crocodile,Crocodile Tears
Crime,True Crime
Cricket,Cricket Bat
Howl,Wolf Howl
Creafure,Creafure Comfort
Cocktail,Shrimp Cocktail
Crate,Training Crate
Test,Crash Test Dummy
Crane,Crane Operator
Cradle,Cat's Cradle
Count,Countdown
Sponge,Kitchen Sponge
Cough,Cough Syrup
Corner,Corner Office
Way,Milky Way
Peach,Peach Cobbler
Copy,Copycat
Badge,Sheriff's Badge
Contest,Costume Contest
Hermit,Hermit Crab
Artist,Con Artist
Compass,Compass Needle
Coil,Tesla Coil
Collar,Dog Collar
Choir,Chapel Choir
Choice,Clear Choice
Chapter,Final Chapter
Briefcase,Leather Briefcase
Bonnet,Baby Bonnet
Buy,Buy Time
Blender,Makeup Blender
Birth,Birth Certificate
Barrel,Pickle Barrel
Professor,Assistant Professor
Ancient,Ancient Artifact
Tear,Teardrop
Opposite,Opposites Attract
Onion,Onion Rings
Omelet,Vegetable Omelet
Odd,Odd Bird
Oafmeal,Instant Oatmeal
Nod,Nodoff
Net,Fishnet
Nerve,Last Nerve
Neighbor,Nosey Neighbor
Needle,Knitting Needle
Neat,Neat Handwriting
Nanny,Nanny Cam
Mustang,Wild Mustang
Mustache,Curly Mustache
Mud,Mudslide
Move,Power Move
Mouse,Field Mouse
Moose,Moose Tracks
Monster,Scary Monster
Mold,Jell-O. Mold
Mirror,Vanity Mirror
Mirage,Desert Mirage
Mill,Windmill
Migration,Migration Pattern
Midnight,Midnight Snack
Middle,Middle Child
Melon,Watermelon
Medium,Medium Rare
Medal,Gold Medal
Match,Matchbook
Marsh,Marshmallow
Manatee,River Manatee
Mallet,Rubber Mallet
Makeup,Makeup Brush
Main,Main Street
Magazine,Magazine Rack
Mad,Mad Rush
Lullaby,Gentle Lullaby
Lost,Lost Keys
Look,Look Alive
Log,Log Cabin
Location,Secret Location
Lobster,Lobster Claw
Lobby,Hotel Lobby
Loan,Bank Loan
Llama,Spitting Llama
Lizard,Lizard Lips
Listen,Listen Up
List,Guest List
Line,Power Line
Lime,Key Lime Pie
Library,Library Card
Level,Next Level
Lettuce,Iceberg Lettuce
Lesson,Life Lesson
Leaf,Four-Lear Clover
Layer,Layer Cake
Lawn,Lawn Mower
Lamp,Gas Lamp
Lamb,Lamb Chop
Knowledge,Forbidden Knowledge
Keep,Castle Keep
Kangaroo,Kangaroo Pouch
Jungle,Concrete Jungle
Join,Join the Club
Jam,Jam-Packed
Itch,Ifchy Feet
Invitation,Party Invitation
Insult,Hurl Insults
Inspector,Home Inspector
Imposter,Imposter Syndrome
Imaginary,Imaginary Friend
Hyena,Laughing Hyena
Hurt,Hurt Feelings
Humble,Humble Pie
Human,Human Nature
Hour,Amateur Hour
Hop,Hopscotch
Holler,Holler Back
Hike,Day Hike
Helmet,Bike Helmet
Heel,High Heels
Haunt,Haunted House
Haul,Overhaul
Harvest,Harvest Season
Ham,Smoked Ham
Guest,Guest House
Guess,Educated Guess
Grunt,Grunt Work
Grumble,Stomach Grumble
Growl,Growler
Grow,Growing Pains
Ground,Groundhog
Gross,Gross Out
Grin,Toothy Grin
Grim,Grim Reaper
Grill,Grill Pan
Gravity,Zero Gravity
Grab,Grab Bag
Hum,Hummingbird
Ad,Ad Agency
Acid,Battery Acid
Boss,Boss Battle
Comfort,Comfort Food
Comedy,Stand-Up Comedy
Cell,Cell Division
Stampede,Buffalo Stampede
Heavy,Heavy Burden
Trailer,Tractor Trailer
Battery,Battery Charger
Bat,Vampire Bat
Company,Good Company
Community,Community Leader
Common,Common Sense
Cold,Cold Brew
Coin,Coin Toss
Code,Code Red
Coconut,Shredded Coconut
Corn,Corncob
Coat,Trench Coat
Coast,Rollercoaster
Clue,Clueless
Clothing,Clothing Rack
Clock,Grandfather Clock
Clay,Clay Mask
Duet,Violin Duet
City,City Hall
Circuit,Circuit Board
Child,Child Actor
Charity,Charity Drive
Change,Loose Change
Chalk,Chalkboard
Chase,High-Speed Chase
Cereal,Cereal Box
Cast,Castaway
Cartridge,Game Cartridge
Cartoon,Cartoon Strip
Carnival,Carnival Prize
Care,Caregiver
Carbon,Carbon Filter
Car,Trolley Car
Can,Soda Can
Campus,College Campus
Camp,Campgrounds
Cabbage,Cabbage Patch
Burn,Burn Mark
Broom,Broomstick
Brass,Brass Knuckles
Olive,Olive Oil
Brake,Brake Pad
Brace,Arm Brace
Box,Music Box
Bow Tie,Bow Tie Pasta
Bouquet,Flower Bouquet
Border,Border Collie
Boost,Booster Seat
Boom,Sonic Boom
Book,Bookcase
Bonus,Bonus Round
Blast,Blast Off
Ability,Psychic Ability
Zone,Time Zone
Weather,Weather Report
Snail,Snail Mail
Skeleton,Skeleton Crew
Rodeo,Rodeo Clown
Robin,Round Robin
Reset,Reset Button
Marble,Marble Bust
History,Natural History
Page,Front Page
Frenzy,Feeding Frenzy
Dune,Dune Buggy
Steak,Rib Eye Steak
Cloud,Cloud Nine
Church,Church Bench
Well,Wishing Well
Whistle,Whistleblower
Wind,Wind Chime
Work,Workout
Year,Leap Year
Attack,Sneak Attack
Auction,Auction House
Bronco,Bucking Bronco
Bronze,Bronze Statue
Brunch,Sunday Brunch
Buffalo,Buffalo Wings
Bull,Bulldozer
Buzz,Buzz Word
Blaze,Trailblazer
Cheek,Tongue-in-Cheek
Cheer,Cheerleader
Cooking,Cooking Class
Clap,Clap Back
Class,Classmate
Bean,Jelly Bean
Cabin,Cabin Fever
Cannon,Cannonball
Canoe,Canoe Paddle
Chop,Chopsticks
Gossip,Juicy Gossip
Gorilla,Silverback Gorilla
Glue,Glue Stick
Giraffe,Giraffe Tongue
Garlic,Garlic Knot
Gap,Gap-Toothed
Fuse,Short Fuse
Furniture,Furniture Movers
Fun,Fun Fact
Full,Full Moon
Frown,Frown Lines
Friday,Friday Night
Fresh,Freshwater
Frame,Window Frame
Fox,Sly Fox
Follow,Follow Suit
Flip,Flip-Flop
Flea,Flea Market
Flat,Flat Screen
Flamingo,Plastic Flamingo
Find,Find Out
Figure,Action Figure
Feet,Feet First
Feast,Holiday Feast
Fart,Silent Fart
Farmer,Farmers' Market
Falcon,Falcon Wings
Fair,Fair Weather
Experiment,Failed Experiment
Elbow,Elbow Grease
Eggplant,Eggplant Parmesan
Eel,Electric Eel
Eat,Eating Contest
Eagle,Bald Eagle
Dribble,Double Dribble
Dress,Pencil Dress
Dove,Dovetail
Donkey,Donkey Kick
Dolphin,Bottlenose Dolphin
Dodge,Dodgeball
Disturb,Do Not Disturb
Dimples,Cheek Dimples
Desserts,Just Desserts
Department,Clothing Department
Delivery,Delivery Route
Deed,Good Deed
Dare,Daredevil
Crunch,Crunch Time
Cream,Sour Cream
Cost,Sunk Cost
Cork,Corkboard
Connection,Missed Connection
Compare,Nothing Compares
Clean,Clean Laundry
Circus,Circus Acrobat
Chisel,Chiseled Jaw
Ceremony,Graduation Ceremony
Caterpillar,Hungry Caterpillar
Casino,Casino Slots
Carry,Carry-On
Canvas,Blank Canvas
Cane,Candy Cane
Camel,Camelback
Cactus,Cactus Fruit
Cab,Yellow Cab
Burp,Burpees
Bulk,Bulk Order
Buckle,Belt Buckle
Brook,Babbling Brook
Broke,Flat Broke
Broccoli,Steamed Broccoli
Braid,Long Braids
Bolt,Bolt Cutter
Board,Boardwalk
Blister,Blister Pack
Blink,Don't Blink
Bet,Safe Bet
Beep,Beep Beep!
Beat,Heartbeat
Beard,Beard Wax
Bamboo,Bamboo Shoot
Bait,Fish Bait
Bail,Bailout
Background,Background Image
Avocado,Avocado Toast
Audience,Captive Audience
Attempt,Second Attempt
Asteroid,Asteroid Belt
Arm,Armadillo
Argue,Argue Circles
Archery,Archery Range
Arch,Balloon Arch
Anvil,Iron Anvil
Ankle,Sprained Ankle
Allowance,Weekly Allowance
Allergy,Pollen Allergy
Aisle,Frozen Aisle
Adventure,Adventure Gear
Admit,Admit One
Acting,Method Acting
Week,Welcome Week
Weed,Tumbleweed
Evening,Evening Wear
Wax,Earwax
Waste,Waste Treatment
Village,Santa's Village
Tire,Spare Tire
Tide,Riptide
Ticket,Return Ticket
Bush,Thornbush
Everything,Everything Bagel
Theory,String Theory
Television,National Television
Tax,Tax Refund
Submarine,Nuclear Submarine
Study,Quick Study
Stream,Steady Stream
Store,Dollar Store
Sting,Stingray
Crow,Scarecrow
Spell,Dizzy Spell
Speech,Free Speech
Soul,Soul Mate
Snap,Snapshot
Sled,Dogsled
Sky,Skydiving
Skull,Crystal Skull
Silver,Quicksilver
Delay,Delay Signal
Sigh,Deep Sigh
Seal,Wax Seal
Sed,Sea Breeze
Role,Role-play
Reef,Coral Reef
Reading,Palm Reading
Razor,Razor Blade
Ram,Battering Ram
Quality,Quality Assurance
Product,Product Design
Math,Math Problem
Prize,Nobel Prize.
Printer,Laser Printer
Tail,Ponytail
Policy,Open Door Policy
Play,Playback
Parent,Grandparent
Complaint,Noise Complaint
Night,Nightmare
News,News Anchor
Nature,Force of Nature
Moth,Mothball
Model,Role Model
Mistake,Honest Mistake
Microwave,Microwave Oven
Memory,Memory Lane
Media,Social Media
Mark,Landmark
Leopard,Leopard Print
Language,Sign Language
Labor,Labor Union
Knife,Butter Knife
Jump,Jump Scare
Smoothie,Fruit Smoothie
Formal,Formal Introduction
Internet,Internet Speed
Insurance,Home Insurance
Initiative,Take Initiative
Inflation,Inflation Rate
Hug,Bear Hug
Hook,Grappling Hook
Hog,Hedgehog
Hockey,Field Hockey
Heaven,Seventh Heaven
Half,Better Half
Goose,Goose Bumps
Goat,Scapegoat
Goal,Squad Goals
Necklace,Diamond Necklace
Game,Game Night
Fountain,Water Fountain
Fridge,Fridge Magnet
Fog,Foghorn
Foam,Foam Mattress
Flow,Lava Flow
Fix,Easy Fix
Fiction,Fan Fiction
Fiber,Fiber Optics
Fee,Late Fee
Feather,Feather Duster
Fate,Twist of Fate
Fashion,Fashion Icon
Fantasy,Fantasy Football
Fabric,Fabric Soffener
Eye,Bullseye
Exit,Exit Sign
Exhibit,Art Exhbit
Exam,Physical Exam
Estate,Real Estate
Entry,Entry Point
Forest,Forest Clearing
